FECHAS;Amazonas;Antioquia;Arauca;Atlántico;Barranquilla;Bogotá;Bolívar;Cartagena;Boyacá;Caldas;Caquetá;Casanare;Cauca;Cesar;Chocó;Córdoba;Cundinamarca;Guainía;Guaviare;Huila;La Guajira;Magdalena;Santa Marta;Meta;Nariño;Norte de Santander;Putumayo;Quindío;Risaralda;San Andrés y Providencia;Santander;Sucre;Tolima;Valle del Cauca;Buenaventura;Vaupés;Vichada;Empresas privadas*
17/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0
18/02/2021;0;1019;0;0;631;5486;0;79;0;0;0;0;0;0;0;188;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;185;114;0;328;0;0;0;0
19/02/2021;0;1196;0;85;531;6990;282;198;0;638;0;0;0;236;0;649;570;0;0;0;0;210;492;0;0;168;0;95;453;0;638;328;0;1470;0;0;0;0
20/02/2021;0;1492;0;203;465;90;0;197;676;344;0;0;666;294;0;488;0;0;0;214;0;0;228;0;474;496;0;156;311;0;499;168;594;1637;78;0;0;0
21/02/2021;0;2028;0;270;218;0;0;108;396;0;0;0;0;217;0;0;0;0;0;102;0;0;0;0;482;307;0;168;96;0;579;0;492;692;0;0;0;0
22/02/2021;0;735;120;0;613;0;0;301;0;0;149;24;0;101;144;0;0;0;0;271;0;0;0;348;447;197;66;116;48;0;468;72;257;928;0;0;0;0
23/02/2021;0;100;0;0;66;10;0;337;0;0;96;174;0;48;0;0;0;20;79;338;0;0;0;402;219;162;48;0;0;42;19;0;0;89;0;0;24;0
24/02/2021;1783;0;0;0;14;629;0;30;2;0;25;60;0;130;0;2;1244;154;0;149;0;0;0;209;135;0;36;0;0;0;0;0;0;0;0;175;0;0
25/02/2021;2350;650;0;0;43;11333;0;0;393;0;0;42;0;24;0;0;2709;1126;0;216;0;0;0;0;19;12;24;56;0;0;0;0;0;1873;0;181;0;0
26/02/2021;2587;2293;116;240;57;10055;0;73;933;0;0;0;0;0;0;0;3277;1092;0;186;86;0;0;0;145;0;0;484;0;0;0;0;0;1879;0;213;18;0
27/02/2021;1309;4984;98;1130;1026;2965;0;736;1013;2132;0;0;0;0;0;76;1988;904;0;228;562;0;0;605;1520;28;0;440;12;0;0;0;982;2451;0;131;23;0
28/02/2021;642;2748;7;748;834;1078;0;627;542;976;0;0;0;179;0;51;2;0;0;180;20;425;0;0;897;72;0;150;134;0;0;0;1292;1316;21;0;57;0
1/03/2021;636;2867;3;492;614;793;382;440;797;26;46;117;42;858;0;301;730;740;97;252;147;422;0;393;1151;126;83;352;138;13;738;220;546;2075;132;415;2;0
2/03/2021;619;2966;56;225;573;308;816;268;453;223;299;469;665;661;185;804;676;487;70;284;317;121;460;345;1339;326;120;505;565;16;1734;638;493;2682;13;358;5;0
3/03/2021;357;1778;22;303;318;5183;945;286;242;59;309;411;1246;150;155;1074;437;297;73;778;226;16;90;103;1078;692;227;300;722;41;1254;773;221;3514;41;478;0;0
4/03/2021;2056;2533;77;1;183;11060;477;151;216;0;207;312;594;32;171;495;1118;296;26;1043;190;24;651;330;777;636;142;91;342;0;1088;1090;557;2235;13;383;36;0
5/03/2021;2752;2743;195;241;1699;5152;448;126;549;654;226;203;492;228;249;911;1111;287;7;1261;213;301;194;571;907;884;138;365;925;0;1691;982;266;1870;90;427;42;0
6/03/2021;2455;2621;52;589;2207;2226;432;71;442;257;176;224;718;443;327;1522;828;116;90;723;158;484;822;439;1123;1106;143;271;342;0;1673;606;539;3798;317;366;76;0
7/03/2021;1058;2027;0;90;1141;8246;124;35;61;279;238;441;1275;172;287;697;56;0;96;315;558;119;740;60;508;346;243;209;711;0;1249;268;926;1223;99;289;0;0
8/03/2021;1299;3802;76;210;1842;5457;140;761;471;480;208;320;1279;670;27;995;6148;155;73;679;439;61;30;599;1457;945;184;396;697;96;1521;236;635;1774;87;318;22;0
9/03/2021;1215;7358;49;1845;2037;20183;45;1612;1191;672;273;623;343;1003;9;1290;7458;318;100;574;450;351;983;624;1095;1609;88;1038;1223;45;951;436;511;3456;118;188;0;0
10/03/2021;579;9036;86;1785;2521;16824;214;1246;3227;2109;272;764;129;623;175;847;7691;365;38;1176;419;921;1288;784;1223;1057;35;1205;4074;86;2613;790;1040;8835;70;383;117;0
11/03/2021;187;23105;216;1855;2973;24445;2228;1930;5203;7082;319;607;991;1195;208;2127;8181;366;8;1647;704;1035;836;1539;4171;1383;222;1126;4745;155;5755;1374;1697;9425;66;504;3;0
12/03/2021;20;18040;197;1272;3007;18874;2476;1914;4393;2924;498;374;1867;2004;239;2168;6189;272;15;1749;968;1366;1126;1645;4440;2255;164;951;3621;41;7004;1313;4000;10308;70;346;22;0
13/03/2021;21;12335;107;1822;3003;16835;2277;1806;3392;3351;205;274;2098;1469;426;2866;3320;104;0;1226;664;1077;910;1772;3783;2410;86;1362;2642;18;5002;841;3093;10550;96;242;0;0
14/03/2021;0;7100;9;1131;1324;13808;1399;1225;1507;2004;123;184;627;577;285;1470;1307;0;0;598;969;531;89;186;2189;1510;36;586;1533;0;3640;276;1804;7367;0;0;0;0
15/03/2021;0;11177;321;1264;1495;6776;1083;1403;2445;994;357;226;1481;1200;460;1877;7475;130;17;1299;469;598;227;1262;2278;2076;292;1023;639;30;3508;1550;3046;5845;51;33;0;0
16/03/2021;0;9365;182;791;1655;8598;927;1602;1897;1417;452;460;1058;1044;335;1585;241;103;36;1587;317;506;318;1174;1785;1538;321;1154;762;16;2960;975;3322;4599;90;83;11;0
17/03/2021;13;7930;191;550;1842;8576;1546;899;2597;808;188;86;373;1338;248;1414;14;244;113;1137;1409;1273;128;1072;1010;2578;215;910;590;35;3167;791;2732;4658;91;72;1;0
18/03/2021;32;9085;111;401;1527;9747;759;2564;3626;441;298;126;1737;765;274;890;444;108;25;980;1875;636;160;702;1532;1042;142;796;1936;61;1090;1021;1959;5464;51;22;69;0
19/03/2021;60;3374;133;278;1863;9672;2937;3728;685;696;528;111;1395;822;253;1722;5299;143;41;789;1905;509;56;598;816;1341;127;1096;1523;21;2388;1755;1801;6921;86;0;31;0
20/03/2021;313;2760;111;390;2907;6682;4108;3857;481;689;525;206;945;606;148;2049;3629;102;9;926;867;317;552;649;1278;917;13;621;833;23;2068;1563;2247;6388;70;0;0;0
21/03/2021;399;1422;31;1589;2099;6973;2123;1217;48;197;435;8;576;1275;87;2112;823;0;24;204;190;530;79;38;1099;1043;0;212;388;7;999;432;1053;5198;0;0;0;0
22/03/2021;479;1629;103;1085;1369;560;1090;836;321;25;338;20;692;1378;106;2263;635;0;13;200;463;251;270;138;737;2002;8;222;247;8;2263;1121;774;1605;0;0;0;0
23/03/2021;453;2499;161;1678;2228;8808;2582;732;1279;251;577;414;2078;1869;196;2541;8352;202;165;846;788;1070;463;611;2552;1832;333;1526;1405;30;4546;2145;2940;2902;163;275;58;0
24/03/2021;1746;11777;342;1345;2131;17483;2932;351;3084;230;710;384;1792;943;437;2316;8701;319;90;809;493;1430;640;698;2807;1992;436;1536;1316;87;3999;1815;3513;6186;261;488;75;0
25/03/2021;2223;6529;502;974;2341;28189;2884;1580;3944;412;827;421;962;1305;515;2245;6629;1021;62;2531;707;1469;347;1166;2109;1906;404;1238;2285;99;2734;1398;1941;6248;264;363;87;0
26/03/2021;2721;16353;449;1196;6474;22099;3170;1635;4035;398;504;952;962;1652;560;2684;14834;1007;65;2492;890;1006;588;2119;4677;2109;442;1657;2754;202;4140;947;5130;8328;353;287;53;0
27/03/2021;1910;15111;288;4933;5833;22900;2616;2365;4048;1442;711;1004;1501;3098;624;5169;8910;869;10;5031;958;1116;1071;2202;3677;3278;159;1994;4387;69;5468;1006;4178;11839;562;142;157;0
28/03/2021;698;19336;78;2344;3407;15821;800;229;3377;1269;407;331;888;1860;465;2696;2139;0;170;3905;917;598;778;612;2180;1738;132;934;3369;634;4201;407;5967;9136;114;0;0;0
29/03/2021;952;23171;550;3044;5604;28783;2471;526;4407;5143;689;1377;2218;3508;758;3706;2524;655;135;3291;1308;1937;1027;2716;4807;3865;539;2987;3387;803;8613;1224;5176;13485;447;277;83;0
30/03/2021;1098;21832;454;2463;5237;36557;2140;3375;4484;5364;845;737;1522;3272;620;3684;4865;526;158;1537;1220;1577;30;3266;4620;3908;400;2204;4318;1026;8977;1719;5554;16013;406;357;111;0
31/03/2021;759;20344;313;2111;4064;18109;1832;2557;2130;2226;900;1845;1472;2693;568;2435;3795;347;150;2014;1112;845;906;3025;7610;3299;723;1973;3104;676;6684;2355;3424;14567;317;507;71;0
1/04/2021;1657;8539;135;912;1536;8677;170;1059;902;3443;429;507;931;556;376;809;1273;259;9;1148;319;94;193;2597;3013;1552;257;348;447;118;2554;2145;727;9391;20;377;19;0
2/04/2021;2655;7293;142;538;696;3278;67;238;330;1669;331;444;431;192;432;668;462;213;0;1113;204;362;274;739;679;971;195;261;244;110;2214;1092;454;5748;62;422;31;0
3/04/2021;2105;7925;166;937;1606;8764;607;1126;1064;460;359;198;2411;799;106;976;681;96;37;665;385;490;174;755;850;1644;160;261;937;50;1993;652;1142;3845;128;338;13;0
4/04/2021;1567;2855;131;451;2379;7507;157;559;390;1029;134;174;494;386;0;735;107;0;1;148;149;107;0;344;317;810;79;259;996;110;1506;373;413;2086;10;273;0;0
5/04/2021;1580;11749;463;1439;3440;13567;562;1583;1539;1008;378;588;1111;1497;452;2188;6969;288;58;1072;810;313;814;1529;1872;2399;441;0;2133;88;4848;1112;794;2125;205;502;70;0
6/04/2021;1767;16411;540;2631;3904;22346;381;1904;2288;1723;509;698;2817;1524;258;2216;7193;355;58;1323;857;532;813;1238;1851;2688;252;3404;2020;104;3972;1630;1038;7151;189;296;49;0
7/04/2021;777;14243;451;2505;4178;26699;1232;1899;3617;4838;501;601;1961;2213;88;1921;7559;368;72;1096;831;1132;865;1402;3027;2709;270;1972;3732;189;5275;1951;2696;9298;164;557;23;0
8/04/2021;407;17781;397;2224;5205;19501;2246;2386;4703;3343;683;880;863;2496;217;2246;11856;320;53;2193;1129;1356;1031;1474;5447;1930;391;2096;4551;150;5843;2188;2917;10101;186;515;10;0
9/04/2021;288;32153;441;1841;3978;20276;3031;2373;4905;1582;466;582;1559;1849;209;1921;9594;311;48;2059;933;1350;735;1785;5224;3043;444;1739;3402;112;6279;2373;4309;11654;156;361;29;0
10/04/2021;141;21255;233;1219;3831;15217;2320;2689;3016;714;238;489;3179;1967;412;1536;3711;72;11;781;556;960;590;1405;3719;2824;210;1217;3031;20;5571;1809;3546;6317;67;254;0;0
11/04/2021;69;8818;73;673;1177;15689;1134;1203;779;1901;55;169;1072;236;252;1264;746;0;0;244;218;258;77;50;1213;1535;45;320;1015;0;2639;208;827;5361;2;0;0;0
12/04/2021;136;18034;235;1664;4085;7746;1172;2023;1998;212;228;371;755;1526;496;1619;7647;180;64;676;756;609;1374;769;1917;1547;168;1228;1499;36;3421;804;1440;16243;63;157;14;0
13/04/2021;111;17745;187;1087;3015;19716;692;2309;2951;2549;330;299;1181;1664;310;1768;4933;137;48;1123;889;700;592;933;1204;1514;367;1269;2223;21;2324;919;1733;8646;99;130;28;0
14/04/2021;209;12439;321;2273;5161;17579;2086;3235;4162;1623;789;629;1704;1573;180;2149;4897;96;42;2298;1105;855;859;1056;2043;1834;442;1269;2796;41;748;932;3526;9555;186;153;52;0
15/04/2021;178;13529;380;2206;4133;13643;2321;3185;4863;1889;790;814;756;988;679;4300;14148;170;34;1868;2461;1043;808;1608;3180;3068;310;1770;2412;23;649;1289;3442;11549;197;76;99;0
16/04/2021;129;20536;389;2042;5736;30624;3995;6377;6164;2905;1016;836;239;1610;684;3227;6826;127;23;1736;2856;1204;1285;1660;3125;2544;948;3006;3638;89;3084;2393;3079;10365;379;32;104;0
17/04/2021;150;19372;340;1441;4102;19279;4124;2427;4703;1059;719;461;3736;1850;429;3462;1350;119;26;1437;1219;1626;1387;731;4424;5228;127;1449;3720;83;6303;2499;1790;15718;217;0;13;0
18/04/2021;123;15004;62;1463;2335;14306;933;2971;1067;20;446;111;389;1234;139;1903;75;0;0;334;444;1343;100;67;1095;1866;25;0;2120;14;3677;208;1452;6952;5;0;0;0
19/04/2021;366;13007;432;2110;3738;16084;2096;1640;2272;1227;705;480;571;2412;318;3319;120;79;58;903;1128;1964;6216;1024;3273;6075;401;1523;2990;39;4846;1829;4462;9541;208;36;85;0
20/04/2021;0;21280;520;2440;4130;13096;2717;2765;1051;8851;834;772;3268;2036;314;3159;128;207;105;1540;2949;1924;1711;0;3556;3512;584;4084;2974;42;4756;3091;3888;8030;311;0;79;0
21/04/2021;1135;23819;378;2200;4210;50542;2584;2111;1218;3241;869;815;2100;1859;391;4892;98;193;155;1794;1530;1938;2679;1915;2925;3684;515;2162;3042;63;9219;2921;6050;9158;455;263;105;0
